ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,157.0,"15,386.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,28.0,"4,704.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,22.0,"1,936.00"
0401008,脆烧星斑扒,位,RMB,138.00,141.0,"19,458.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,6.0,768.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,66.0,"7,128.00"
0401018,金柚手撕龙虾,位,RMB,138.00,145.0,"20,010.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,16.0,"2,048.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,7.0,"1,176.00"
1201033,法式龙虾扒（2月套餐）,位,RMB,107.13,27.0,"2,892.51"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,196.0,"35,280.00"
0601002,老鼠斑,斤,RMB,438.00,1.2,525.60
0601002,老鼠斑,斤,RMB,498.00,3.6,"1,792.80"
0601003,东星斑,斤,RMB,268.00,1.8,482.40
0601003,东星斑,斤,RMB,328.00,39.3,"12,890.40"
0601003,东星斑,斤,RMB,368.00,1.8,662.40
0601003,东星斑,斤,RMB,468.00,19.5,"9,126.00"
0601003,东星斑,斤,RMB,498.00,3.4,"1,693.20"
0601004,红玫瑰,斤,RMB,438.00,52.1,"22,819.80"
0601007,老虎斑,斤,RMB,168.00,27.8,"4,670.40"
0601022,蓝东星,斤,RMB,188.00,25.0,"4,700.00"
0601023,黄丁,斤,RMB,168.00,21.6,"3,628.80"
0601023,黄丁,斤,RMB,198.00,4.5,891.00
0601025,珍珠龙趸,斤,RMB,98.00,33.6,"3,292.80"
0601030,金雕,斤,RMB,88.00,4.7,413.60
0601031,红牡丹,斤,RMB,98.00,1.5,147.00
0601031,红牡丹,斤,RMB,128.00,3.7,473.60
0601032,红星,斤,RMB,328.00,5.7,"1,869.60"
0601032,红星,斤,RMB,368.00,0.9,331.20
0601033,红斑,斤,RMB,328.00,12.4,"4,067.20"
0602001,花龙虾,斤,RMB,568.00,15.3,"8,690.40"
0602001,花龙虾,斤,RMB,598.00,7.2,"4,305.60"
0602003,龙虾仔,斤,RMB,398.00,11.6,"4,616.80"
0602003,龙虾仔,斤,RMB,438.00,13.9,"6,088.20"
0602004,波士顿龙虾,斤,RMB,198.00,4.5,891.00
0602004,波士顿龙虾,斤,RMB,228.00,36.9,"8,413.20"
0602006,斑马虾,斤,RMB,328.00,13.9,"4,559.20"
0602008,大虾皇,斤,RMB,248.00,11.3,"2,802.40"
0602010,大红节虾,斤,RMB,168.00,10.0,"1,680.00"
0602010,大红节虾,斤,RMB,198.00,1.0,198.00
0602017,花虾,斤,RMB,168.00,6.3,"1,058.40"
0602018,蓝龙虾,斤,RMB,328.00,20.3,"6,658.40"
0603001,象拔蚌,斤,RMB,368.00,7.0,"2,576.00"
0603001,象拔蚌,斤,RMB,438.00,34.8,"15,242.40"
0603004,南非野生鲍,斤,RMB,368.00,35.4,"13,027.20"
0603014,美国响螺,斤,RMB,228.00,6.6,"1,504.80"
0603014,美国响螺,斤,RMB,268.00,5.3,"1,420.40"
0603016,加拿大生蚝,只,RMB,48.00,57.0,"2,736.00"
0604002,阳澄湖大闸蟹（公）,只,RMB,168.00,52.0,"8,736.00"
0401015,泡椒私房焖龙趸,例,RMB,168.00,13.0,"2,184.00"
0605002,开刀东星头腩,斤,RMB,298.00,19.7,"5,870.60"
0605003,开刀苏眉咀,斤,RMB,738.00,13.3,"9,815.40"
0605004,开刀苏眉肉,斤,RMB,680.00,35.3,"24,004.00"
0605004,开刀苏眉肉,斤,RMB,768.00,1.0,768.00
0605005,开刀苏眉头腩,斤,RMB,680.00,21.7,"14,756.00"
0605006,开刀龙趸,斤,RMB,138.00,44.3,"6,113.40"
1201004,百岁草炖珍珠鲍鱼（11月套餐）,位,RMB,125.41,184.0,"23,074.55"
