ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911002,陈年普洱,位,RMB,28.00,139.0,"3,892.00"
0911005,清香铁观音,位,RMB,28.00,66.0,"1,848.00"
0901013,澳洲奔富407,支,RMB,980.00,4.0,"3,920.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,3.0,"1,800.00"
0901017,杰卡斯梅洛干红,支,RMB,480.00,4.0,"1,920.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,2.0,"1,960.00"
0903002,15年茅台53度,支,RMB,"7,000.00",2.0,"14,000.00"
0904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,1.0,480.00
0904002,杰卡斯霞多丽干白,支,RMB,380.00,1.0,380.00
0908002,绍兴20年花雕,支,RMB,380.00,1.0,380.00
0909001,青岛,支,RMB,26.00,39.0,"1,014.00"
0909002,喜力,支,RMB,28.00,8.0,224.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,110.0,"3,080.00"
0910002,博士养生茶,位,RMB,28.00,518.0,"14,504.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,202.0,"5,656.00"
0910004,西藏甘草雪茶,位,RMB,28.00,120.0,"3,360.00"
0910005,藏红花润肺茶,位,RMB,38.00,44.0,"1,672.00"
0910006,冰冻清润茶,位,RMB,18.00,32.0,576.00
0910009,日本芽茶,位,RMB,28.00,17.0,476.00
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,673.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,198.0,"3,564.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,89.0,"1,602.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,135.0,"2,430.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,84.0,"1,512.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,46.0,828.00
0910016,博士养生茶(增加）,位,RMB,0.00,940.0,0.00
0912001,纸巾,包,RMB,8.00,69.0,552.00
0912002,扑克,副,RMB,10.00,2.0,20.00
0912005,保温瓶,个,RMB,50.00,1.0,50.00
0912007,长打包盒,个,RMB,2.00,245.0,490.00
0912008,圆打包盒,个,RMB,2.00,25.0,50.00
0912010,环保袋,个,RMB,3.00,105.0,315.00
0913001,软黑芙蓉王,包,RMB,88.00,8.0,704.00
0913002,软云烟,包,RMB,138.00,1.0,138.00
0913003,软中华,包,RMB,128.00,12.0,"1,536.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,2.0,40.00
0914001,鲜榨苹果汁,渣,RMB,98.00,1.0,98.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,3.0,60.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,10.0,980.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,7.0,686.00
0914010,水果（送）,位,RMB,0.00,"1,135.0",0.00
0914011,水果,位,RMB,28.00,1.0,28.00
0914012,餐前水果（送）,位,RMB,0.00,39.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,1.0,20.00
0914014,鲜榨火龙果汁,渣,RMB,128.00,2.0,256.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,9.0,180.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,19.0,"2,242.00"
0914016,杏仁汁,渣,RMB,138.00,14.0,"1,932.00"
0914016,杏仁汁,渣,RMB,148.00,1.0,148.00
0914019,柠檬,个,RMB,10.00,12.0,120.00
0914020,VIP水果（送）,位,RMB,0.00,"1,535.0",0.00
0915002,苏打水,罐,RMB,13.00,40.0,520.00
0915003,雪碧,罐,RMB,13.00,2.0,26.00
0915004,可乐,罐,RMB,13.00,20.0,260.00
0915005,大芙丝水,支,RMB,68.00,7.0,476.00
0915007,小芙丝水,支,RMB,30.00,33.0,990.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,24.0,912.00
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,9.0,225.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,4.0,100.00
0915011,意大利手磨咖啡,杯,RMB,38.00,8.0,304.00
0999001,大菜单余额,份,RMB,252.00,1.0,252.00
0999001,鲜无花果,盒,RMB,128.00,2.0,256.00
1001001,普通茶（散）,位,RMB,10.00,"1,024.0","10,240.00"
1001002,普通茶（厅）,位,RMB,12.00,841.0,"10,092.00"
0918001,印象大红袍,盒,RMB,346.00,2.0,692.00
1002003,什项A,份,RMB,8.00,1.0,8.00
1002003,什项A,份,RMB,47.00,1.0,47.00
1002003,什项A,份,RMB,50.00,1.0,50.00
1002003,什项A,份,RMB,100.00,1.0,100.00
1002004,自带茶叶,位,RMB,15.00,118.0,"1,770.00"
1002004,自带茶叶,位,RMB,18.00,2.0,36.00
1099001,大菜单服务费,份,RMB,283.20,3.0,849.60
