ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,600.0,"82,800.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,18.0,"3,024.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,19.0,"1,672.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,91.0,"25,480.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,18.0,"6,084.00"
0402006,五谷南瓜盅,位,RMB,48.00,162.0,"7,776.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,49.0,"13,720.00"
0402011,百花雀,只,RMB,68.00,434.0,"29,512.00"
0402017,红烧羊肚菌,位,RMB,128.00,2.0,256.00
0402018,野米煮淮山,位,RMB,48.00,10.0,480.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,5.0,640.00
0402033,木鱼汁香煎安康鱼肝,位,RMB,118.00,14.0,"1,652.00"
0402034,冻鹅肝,位,RMB,88.00,4.0,352.00
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,3.0,204.00
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,2.0,256.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,37.0,"2,886.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,23.0,"2,024.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,19.0,"1,292.00"
0402055,香煎淮山炒带子,例,RMB,160.00,6.0,960.00
0402071,金瓜烩龙趸皮,位,RMB,138.00,16.0,"2,208.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,50.0,"8,450.00"
0402083,西班牙火腿片,位,RMB,88.00,3.0,264.00
0402090,鲜茄汤烩红毛蟹肉,位,RMB,88.00,87.0,"7,656.00"
0402090,鲜茄汤烩红毛蟹肉,位,RMB,128.00,6.0,768.00
