ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,22.0,"8,360.00"
0202005,津梨炖岩燕盏,位,RMB,180.00,23.0,"4,140.00"
0202010,鲜无花果烩官燕,位,RMB,380.00,3.0,"1,140.00"
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,11.0,"5,280.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,15.0,"10,200.00"
0505015,金瓜茸烩鲍翅羹,位,RMB,168.00,9.0,"1,512.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,11.0,"6,380.00"
0201202,15头青森禾麻鲍,位,RMB,"1,680.00",2.0,"3,360.00"
0201312,日本岩手大网鲍5头（6折特惠价）,位,RMB,"4,080.00",2.0,"8,160.00"
0201315,日本岩手吉品鲍15头（6折特惠价）,位,RMB,768.00,7.0,"5,376.00"
0201317,日本岩手吉品鲍20头（6折特惠价）,位,RMB,528.00,9.0,"4,752.00"
0201318,日本制南非20头吉品鲍（6折特惠价）,位,RMB,288.00,5.0,"1,440.00"
