ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0102001,风味汁大花螺,份,RMB,88.00,16.0,"1,408.00"
0102002,洋葱小木耳,份,RMB,28.00,130.0,"3,640.00"
0102003,意大利黑醋拌海蜇,份,RMB,88.00,18.0,"1,584.00"
0102004,蓝莓鹅肝三文鱼塔,份,RMB,88.00,20.0,"1,760.00"
0102006,虫草花素鲍卷,份,RMB,48.00,23.0,"1,104.00"
0102007,麻酱万年青,份,RMB,38.00,152.0,"5,776.00"
0102011,香醋花生配五香黑豆,份,RMB,28.00,44.0,"1,232.00"
0102013,黑竹盐吞拿鱼腩拼三文鱼腩,位,RMB,88.00,20.0,"1,760.00"
0102015,京葱段,份,RMB,25.00,2.0,50.00
0102024,吞拿鱼腩,件,RMB,70.00,4.0,280.00
0102028,拍青瓜,份,RMB,28.00,43.0,"1,204.00"
0102029,炸花生,份,RMB,28.00,11.0,308.00
0102031,炸腰果,例,RMB,28.00,13.0,364.00
0102036,开胃泡椒鸭舌,份,RMB,58.00,55.0,"3,190.00"
0102038,青苹果煎西班牙乳猪,份,RMB,78.00,41.0,"3,198.00"
0102042,翠豆拌蚌仔,份,RMB,78.00,38.0,"2,964.00"
0102049,烟薰素鹅卷,份,RMB,48.00,31.0,"1,488.00"
0102051,水晶鸭舌,份,RMB,58.00,18.0,"1,044.00"
0102057,果香三拼,份,RMB,38.00,49.0,"1,862.00"
0102058,红富士温拌翡翠鲍片,份,RMB,98.00,11.0,"1,078.00"
1201099,馆藏本草凉菜B（套餐）,位,RMB,84.78,204.0,"17,410.35"
1201166,珍品凉菜双拼B（套餐10月）,份,RMB,25.58,72.0,"1,841.77"
1201175,风味凉菜三小碟(8月套餐),份,RMB,49.99,6.0,299.94
