ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911001,西藏雪菊,位,RMB,38.00,6.0,228.00
0911002,陈年普洱,位,RMB,28.00,104.0,"2,912.00"
0911005,清香铁观音,位,RMB,28.00,41.0,"1,148.00"
0901013,澳洲奔富407,支,RMB,980.00,9.0,"8,820.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,3.0,"1,800.00"
0901017,杰卡斯梅洛干红,支,RMB,480.00,3.0,"1,440.00"
0902018,马爹利名士.700ML,支,RMB,960.00,1.0,960.00
0903004,高度茅台53度,支,RMB,"1,980.00",1.0,"1,980.00"
0903005,低度茅台38度,支,RMB,"1,500.00",1.0,"1,500.00"
0904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,1.0,480.00
0908002,绍兴20年花雕,支,RMB,380.00,1.0,380.00
0909001,青岛,支,RMB,26.00,52.0,"1,352.00"
0909002,喜力,支,RMB,28.00,4.0,112.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,119.0,"3,332.00"
0910002,博士养生茶,位,RMB,28.00,648.0,"18,144.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,197.0,"5,516.00"
0910004,西藏甘草雪茶,位,RMB,28.00,123.0,"3,444.00"
0910005,藏红花润肺茶,位,RMB,38.00,45.0,"1,710.00"
0910006,冰冻清润茶,位,RMB,18.00,50.0,900.00
0910009,日本芽茶,位,RMB,28.00,37.0,"1,036.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,"1,943.0",0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,210.0,"3,780.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,77.0,"1,386.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,129.0,"2,322.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,94.0,"1,692.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,47.0,846.00
0910016,博士养生茶(增加）,位,RMB,0.00,"1,015.0",0.00
0912001,纸巾,包,RMB,8.00,65.0,520.00
0912002,扑克,副,RMB,10.00,1.0,10.00
0912005,保温瓶,个,RMB,50.00,1.0,50.00
0912007,长打包盒,个,RMB,2.00,238.0,476.00
0912008,圆打包盒,个,RMB,2.00,31.0,62.00
0912010,环保袋,个,RMB,3.00,105.0,315.00
0913001,软黑芙蓉王,包,RMB,88.00,7.0,616.00
0913002,软云烟,包,RMB,138.00,2.0,276.00
0913003,软中华,包,RMB,128.00,14.0,"1,792.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,5.0,100.00
0914001,鲜榨苹果汁,渣,RMB,98.00,1.0,98.00
0914002,鲜榨哈蜜瓜汁,渣,RMB,98.00,1.0,98.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,1.0,20.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,5.0,490.00
0914010,水果（送）,位,RMB,0.00,"1,165.0",0.00
0914011,水果,位,RMB,28.00,2.0,56.00
0914012,餐前水果（送）,位,RMB,0.00,140.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,3.0,60.00
0914014,鲜榨火龙果汁,渣,RMB,128.00,10.0,"1,280.00"
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,20.0,400.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,16.0,"1,888.00"
0914016,杏仁汁,杯,RMB,35.00,1.0,35.00
0914016,杏仁汁,渣,RMB,138.00,9.0,"1,242.00"
0914019,柠檬,个,RMB,10.00,10.0,100.00
0914020,VIP水果（送）,位,RMB,0.00,"1,604.0",0.00
0915002,苏打水,罐,RMB,13.00,59.0,767.00
0915004,可乐,罐,RMB,13.00,8.0,104.00
0915007,小芙丝水,支,RMB,30.00,19.0,570.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,61.0,"2,318.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,28.0,700.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,21.0,525.00
0915011,意大利手磨咖啡,杯,RMB,38.00,1.0,38.00
0916002,双黄白莲蓉,个,RMB,36.00,1.0,36.00
0916004,迷你蛋黄班兰莲蓉月,个,RMB,18.00,4.0,72.00
0916005,迷你蛋黄白莲蓉月,个,RMB,18.00,1.0,18.00
0916006,迷你金腿五仁月饼,个,RMB,18.00,10.0,180.00
0916007,迷你蛋黄豆沙月饼,个,RMB,18.00,3.0,54.00
0916008,迷你金沙奶皇月饼,个,RMB,16.00,5.0,80.00
0999001,大菜单余额,份,RMB,8.20,6.0,49.20
0999001,大菜单余额,份,RMB,309.00,1.0,309.00
1001001,普通茶（散）,位,RMB,10.00,"1,109.0","11,090.00"
1001002,普通茶（厅）,位,RMB,12.00,783.0,"9,396.00"
0918001,印象大红袍,盒,RMB,346.00,2.0,692.00
1002004,自带茶叶,位,RMB,15.00,203.0,"3,045.00"
1099001,大菜单服务费,份,RMB,465.00,6.0,"2,790.00"
1099001,大菜单服务费,份,RMB,659.00,1.0,659.00
