ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,430.0,"59,340.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,18.0,"3,024.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,30.0,"2,640.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,157.0,"43,960.00"
0402002,本草汤灼极品牛肉,位,RMB,198.00,2.0,396.00
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,15.0,"5,070.00"
0402006,五谷南瓜盅,位,RMB,48.00,171.0,"8,208.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,54.0,"15,120.00"
0402011,百花雀,只,RMB,68.00,357.0,"24,276.00"
0402017,红烧羊肚菌,位,RMB,128.00,2.0,256.00
0402028,黑松露吞拿鱼腩,位,RMB,128.00,25.0,"3,200.00"
0402033,木鱼汁香煎安康鱼肝,位,RMB,180.00,1.0,180.00
0402034,冻鹅肝,位,RMB,88.00,1.0,88.00
0402044,酒烧台湾野生乌鱼籽,位,RMB,68.00,2.0,136.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,64.0,"4,992.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,52.0,"4,576.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,56.0,"3,808.00"
0402055,香煎淮山炒带子,例,RMB,160.00,9.0,"1,440.00"
0402071,金瓜烩龙趸皮,位,RMB,138.00,25.0,"3,450.00"
0402075,日本黑竹盐烧和牛膜（半价）,位,RMB,169.00,2.0,338.00
0402083,西班牙火腿片,位,RMB,88.00,20.0,"1,760.00"
0402086,夜香花浸日本元贝北海道蟹钳,位,RMB,88.00,3.0,264.00
0402089,温泉蛋脆皮雪花牛肉(半价）,位,RMB,140.00,51.0,"7,140.00"
