ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,387.0,"3,870.00"
0912003,日本芥辣,支,RMB,20.00,3.0,60.00
0912004,樱花豉油,支,RMB,48.00,3.0,144.00
0801003,五彩杂粮饭,位,RMB,15.00,120.0,"1,800.00"
0803011,鲜无花果炖雪莲子,位,RMB,38.00,44.0,"1,672.00"
0101002,蒜子辣酱油,碟,RMB,10.00,25.0,250.00
0101002,蒜子辣酱油,碗,RMB,15.00,10.0,150.00
0101003,榨菜,碟,RMB,5.00,1.0,5.00
0101006,原只鸡蛋,个,RMB,5.00,4.0,20.00
0101007,日本樱花虾酱,碟,RMB,20.00,6.0,120.00
0101007,日本樱花虾酱,瓶,RMB,90.00,1.0,90.00
0101008,泰椒豉油,碗,RMB,10.00,5.0,50.00
0101011,瑶柱好味酱,碟,RMB,20.00,4.0,80.00
0101011,瑶柱好味酱,瓶,RMB,80.00,2.0,160.00
0101013,小食,份,RMB,15.00,2.0,30.00
0101015,四宝小食（大厅）,份,RMB,30.00,32.0,960.00
0101019,VIP房四宝小食,份,RMB,40.00,307.0,"12,280.00"
0101020,中秋节小食,份,RMB,38.00,19.0,722.00
0199001,白粥,位,RMB,15.00,1.0,15.00
0199001,白灼露笋,例,RMB,88.00,2.0,176.00
0199001,白灼胜瓜,例,RMB,58.00,1.0,58.00
0199001,白灼胜瓜,例,RMB,68.00,1.0,68.00
0199001,鲍汁扣鹅掌,位,RMB,38.00,9.0,342.00
0199001,北菇扒生菜胆,中,RMB,136.00,6.0,816.00
0199001,菜心炒土猪肉,例,RMB,78.00,3.0,234.00
0199001,菜心粒炒饭,位,RMB,28.00,1.0,28.00
0199001,菜心粒滚粥,位,RMB,22.00,1.0,22.00
0199001,菜心粒肉碎粥,例,RMB,48.00,1.0,48.00
0199001,菜心粒粥,例,RMB,48.00,1.0,48.00
0199001,菜心粒粥,中,RMB,96.00,1.0,96.00
0199001,菜远清水稻庭面,位,RMB,38.00,1.0,38.00
0199001,巢雀喜添丁,中,RMB,156.00,6.0,936.00
0199001,陈醋炒土豆丝,例,RMB,68.00,1.0,68.00
0199001,豉油皇蒸豆腐,例,RMB,68.00,2.0,136.00
0199001,厨部,份,RMB,"6,864.00",1.0,"6,864.00"
0199001,葱油捞稻庭面,位,RMB,38.00,6.0,228.00
0199001,粗面,中,RMB,80.00,6.0,480.00
0199001,冻阿拉斯加蟹,份,RMB,780.00,1.0,780.00
0199001,鹅肝粒炒饭,例,RMB,58.00,6.0,348.00
0199001,番茄鸡蛋汤,位,RMB,48.00,2.0,96.00
0199001,番茄鸡蛋汤稻庭面,位,RMB,38.00,5.0,190.00
0199001,干炒牛河,中,RMB,136.00,1.0,136.00
0199001,黑蒜,只,RMB,38.00,1.0,38.00
0199001,红焖海豹蛇,斤,RMB,268.00,6.2,"1,661.60"
0199001,红烧羊肚菌,例,RMB,498.00,1.0,498.00
0199001,鸿运乳猪全体,只,RMB,780.00,8.0,"6,240.00"
0199001,虎皮尖椒炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,淮山木耳炒香芹,例,RMB,68.00,1.0,68.00
0199001,淮山木耳炒香芹,例,RMB,78.00,1.0,78.00
0199001,忌廉局秋茄,位,RMB,48.00,6.0,288.00
0199001,尖椒炒鸡蛋,例,RMB,68.00,1.0,68.00
0199001,椒盐虾菇仔,斤,RMB,68.00,4.0,272.00
0199001,京葱爆海参,例,RMB,298.00,1.0,298.00
0199001,京葱炒木耳,例,RMB,78.00,1.0,78.00
0199001,凉菜叁拼,位,RMB,28.00,18.0,504.00
