ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0202001,六味岩燕盏,位,RMB,380.00,19.0,"7,220.00"
0202002,玉米汁烩岩燕盏,位,RMB,288.00,2.0,576.00
0202005,津梨炖岩燕盏,位,RMB,180.00,21.0,"3,780.00"
0202010,鲜无花果烩官燕,位,RMB,380.00,19.0,"7,220.00"
1201200,无花果烩官燕盏(9月套餐),位,RMB,62.00,7.0,434.00
0205001,法国金兰花烩鲍翅皇,位,RMB,480.00,28.0,"13,440.00"
0205002,鲍汁荷香海虎翅,位,RMB,680.00,5.0,"3,400.00"
0505015,金瓜茸烩鲍翅羹,位,RMB,168.00,24.0,"4,032.00"
0302001,三支虫草巴戟炖花胶,位,RMB,580.00,12.0,"6,960.00"
0302006,1500庄三支冬虫草炖肉汁,位,RMB,480.00,9.0,"4,320.00"
0201002,日本15头岩手吉品鲍,位,RMB,"1,280.00",2.0,"2,560.00"
0201003,日本20头岩手吉品鲍,位,RMB,880.00,1.0,880.00
1201202,鲍汁扣8头大网鲍（9月套餐）,位,RMB,"1,216.00",7.0,"8,512.00"
1201204,鲍汁扣禾麻鲍（15-20头）（9月套餐）,位,RMB,488.12,30.0,"14,643.60"
