ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,134.0,"13,132.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,16.0,"2,688.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,17.0,"1,496.00"
0401008,脆烧星斑扒,位,RMB,138.00,99.0,"13,662.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,12.0,"1,536.00"
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,53.0,"5,724.00"
0401018,金柚手撕龙虾,位,RMB,138.00,49.0,"6,762.00"
0401018,金柚手撕龙虾,位,RMB,168.00,3.0,504.00
0401019,火山石烧星斑头腩,位,RMB,128.00,20.0,"2,560.00"
0401028,咸柠檬灼鲜鲍（半价）,位,RMB,54.00,50.0,"2,700.00"
0401029,脆烧星斑扒（半价）,位,RMB,69.00,47.0,"3,243.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,3.0,504.00
1201025,陈皮丝蒸龙趸球（6月套餐）,份,RMB,84.61,72.0,"6,091.95"
1201033,法式龙虾扒（2月套餐）,位,RMB,155.20,68.0,"10,553.82"
1201199,鲜胡椒浸东星（9月套餐）,位,RMB,107.85,68.0,"7,334.02"
0301003,百岁草炖珍珠鲍鱼,位,RMB,180.00,122.0,"21,960.00"
0606002,娃娃鱼（特惠价）,斤,RMB,338.00,20.6,"6,962.80"
0601001,苏眉,斤,RMB,980.00,2.5,"2,450.00"
0601002,老鼠斑,斤,RMB,538.00,20.3,"10,921.40"
0601003,东星斑,斤,RMB,368.00,3.2,"1,177.60"
0601003,东星斑,斤,RMB,468.00,45.6,"21,340.80"
0601003,东星斑,斤,RMB,568.00,3.5,"1,988.00"
0601004,红玫瑰,斤,RMB,398.00,26.1,"10,387.80"
0601007,老虎斑,斤,RMB,168.00,3.2,537.60
0601022,蓝东星,斤,RMB,188.00,51.3,"9,644.40"
0601023,黄丁,斤,RMB,168.00,3.0,504.00
0602001,花龙虾,斤,RMB,568.00,24.3,"13,802.40"
0602003,龙虾仔,斤,RMB,368.00,13.4,"4,931.20"
0602003,龙虾仔,斤,RMB,438.00,7.8,"3,416.40"
0602004,波士顿龙虾,斤,RMB,138.00,6.0,828.00
0602004,波士顿龙虾,斤,RMB,168.00,5.8,974.40
0602004,波士顿龙虾,斤,RMB,198.00,10.5,"2,079.00"
0602006,斑马虾,斤,RMB,328.00,33.1,"10,856.80"
0602008,大虾皇,斤,RMB,248.00,13.5,"3,348.00"
0602010,大红节虾,斤,RMB,168.00,5.0,840.00
0602017,花虾,斤,RMB,168.00,4.1,688.80
0603001,象拔蚌,斤,RMB,438.00,59.3,"25,973.40"
0603003,5头大连鲍,斤,RMB,330.00,1.6,528.00
0603004,南非野生鲍,斤,RMB,500.00,14.5,"7,250.00"
0603006,圣子皇,斤,RMB,138.00,11.5,"1,587.00"
0603014,美国响螺,斤,RMB,268.00,19.6,"5,252.80"
0604001,阿拉斯加蟹,斤,RMB,328.00,7.0,"2,296.00"
0604002,阳澄湖大闸蟹（公）,只,RMB,168.00,24.0,"4,032.00"
1201177,上汤牛油波士顿龙虾(8月套餐),份,RMB,290.52,6.0,"1,743.12"
1201181,原条蓝东星二食(8月套餐),条,RMB,200.90,6.0,"1,205.40"
0401015,泡椒私房焖龙趸,例,RMB,168.00,23.0,"3,864.00"
0605001,开刀东星肉,斤,RMB,368.00,2.2,809.60
0605002,开刀东星头腩,斤,RMB,298.00,14.6,"4,350.80"
0605002,开刀东星头腩,斤,RMB,438.00,0.6,262.80
0605003,开刀苏眉咀,斤,RMB,780.00,1.0,780.00
0605003,开刀苏眉咀,斤,RMB,838.00,1.5,"1,257.00"
0605004,开刀苏眉肉,斤,RMB,680.00,2.5,"1,700.00"
0605004,开刀苏眉肉,斤,RMB,780.00,1.3,"1,014.00"
0605005,开刀苏眉头腩,斤,RMB,638.00,1.0,638.00
0605005,开刀苏眉头腩,斤,RMB,680.00,2.8,"1,904.00"
0605005,开刀苏眉头腩,斤,RMB,780.00,10.6,"8,268.00"
0605006,开刀龙趸,斤,RMB,138.00,81.0,"11,178.00"
