ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,93.0,"9,114.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,14.0,"2,352.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,14.0,"1,232.00"
0401008,脆烧星斑扒,位,RMB,138.00,87.0,"12,006.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,4.0,512.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,72.0,"7,776.00"
0401018,金柚手撕龙虾,位,RMB,138.00,102.0,"14,076.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,2.0,256.00
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,16.0,"2,688.00"
1201214,白玉翅浸龙趸（3月套餐）,位,RMB,55.84,148.0,"8,264.17"
0601001,苏眉,斤,RMB,498.00,2.4,"1,195.20"
0601001,苏眉,斤,RMB,568.00,1.6,908.80
0601001,苏眉,斤,RMB,580.00,0.8,464.00
0601002,老鼠斑,斤,RMB,168.00,4.2,705.60
0601002,老鼠斑,斤,RMB,180.00,1.1,198.00
0601002,老鼠斑,斤,RMB,198.00,2.6,514.80
0601002,老鼠斑,斤,RMB,328.00,3.4,"1,115.20"
0601002,老鼠斑,斤,RMB,398.00,3.1,"1,233.80"
0601002,老鼠斑,斤,RMB,498.00,6.2,"3,087.60"
0601003,东星斑,斤,RMB,168.00,8.0,"1,344.00"
0601003,东星斑,斤,RMB,298.00,2.7,804.60
0601003,东星斑,斤,RMB,368.00,75.6,"27,820.80"
0601003,东星斑,斤,RMB,398.00,3.6,"1,432.80"
0601003,东星斑,斤,RMB,498.00,25.5,"12,699.00"
0601004,红玫瑰,斤,RMB,338.00,0.8,270.40
0601004,红玫瑰,斤,RMB,398.00,19.5,"7,761.00"
0601004,红玫瑰,斤,RMB,498.00,17.3,"8,615.40"
0601007,老虎斑,斤,RMB,168.00,49.6,"8,332.80"
0601009,大东星斑,斤,RMB,298.00,5.5,"1,639.00"
0601022,蓝东星,斤,RMB,188.00,18.7,"3,515.60"
0601023,黄丁,斤,RMB,198.00,3.6,712.80
0601025,珍珠龙趸,斤,RMB,98.00,3.6,352.80
0601029,红瓜子,斤,RMB,498.00,1.5,747.00
0601029,红瓜子,斤,RMB,568.00,9.1,"5,168.80"
0601032,野生红星,斤,RMB,380.00,6.3,"2,394.00"
0601033,红斑,斤,RMB,328.00,6.2,"2,033.60"
0601037,野生花金古,斤,RMB,368.00,2.0,736.00
0601037,野生花金古,斤,RMB,398.00,1.0,398.00
0601037,野生花金古,斤,RMB,498.00,12.0,"5,976.00"
0601038,老虎斑（特惠价）,斤,RMB,98.00,87.7,"8,594.60"
0601039,原条大苏眉,斤,RMB,528.00,4.0,"2,112.00"
0602001,花龙虾,斤,RMB,538.00,10.3,"5,541.40"
0602001,花龙虾,斤,RMB,598.00,6.4,"3,827.20"
0602003,龙虾仔,斤,RMB,228.00,4.5,"1,026.00"
0602003,龙虾仔,斤,RMB,238.00,24.6,"5,854.80"
0602003,龙虾仔,斤,RMB,268.00,41.6,"11,148.80"
0602003,龙虾仔,斤,RMB,298.00,3.4,"1,013.20"
0602003,龙虾仔,斤,RMB,398.00,20.9,"8,318.20"
0602004,波士顿龙虾,斤,RMB,138.00,11.6,"1,600.80"
0602004,波士顿龙虾,斤,RMB,168.00,22.0,"3,696.00"
0602004,波士顿龙虾,斤,RMB,228.00,17.2,"3,921.60"
0602008,大虾皇,斤,RMB,248.00,31.3,"7,762.40"
0602016,南美罗氏虾,斤,RMB,138.00,2.1,289.80
0602019,罗氏虾,斤,RMB,138.00,28.5,"3,933.00"
0603001,象拔蚌,斤,RMB,368.00,2.5,920.00
0603001,象拔蚌,斤,RMB,398.00,54.6,"21,730.80"
0603001,象拔蚌,斤,RMB,438.00,2.6,"1,138.80"
0603004,南非野生鲍,斤,RMB,398.00,30.15,"11,999.70"
0603004,南非野生鲍,斤,RMB,438.00,25.05,"10,971.90"
0603004,南非野生鲍,斤,RMB,498.00,1.5,747.00
0603005,大响螺,斤,RMB,380.00,5.5,"2,090.00"
0604011,松叶蟹,斤,RMB,138.00,19.3,"2,663.40"
0604011,松叶蟹,斤,RMB,168.00,86.7,"14,565.60"
0401015,泡椒私房焖龙趸,例,RMB,168.00,11.0,"1,848.00"
0605002,开刀东星头腩,斤,RMB,248.00,12.9,"3,199.20"
0605003,开刀苏眉咀,斤,RMB,598.00,2.2,"1,315.60"
0605003,开刀苏眉咀,斤,RMB,680.00,2.0,"1,360.00"
0605003,开刀苏眉咀,斤,RMB,800.00,9.6,"7,680.00"
0605003,开刀苏眉咀,斤,RMB,850.00,1.0,850.00
0605003,开刀苏眉咀,斤,RMB,880.00,1.0,880.00
0605004,开刀苏眉肉,斤,RMB,568.00,1.8,"1,022.40"
0605004,开刀苏眉肉,斤,RMB,598.00,1.5,897.00
0605004,开刀苏眉肉,斤,RMB,680.00,6.5,"4,420.00"
0605004,开刀苏眉肉,斤,RMB,738.00,1.0,738.00
0605004,开刀苏眉肉,斤,RMB,768.00,28.7,"22,041.60"
0605005,开刀苏眉头腩,斤,RMB,498.00,1.0,498.00
0605005,开刀苏眉头腩,斤,RMB,568.00,2.5,"1,420.00"
0605005,开刀苏眉头腩,斤,RMB,680.00,3.0,"2,040.00"
0605005,开刀苏眉头腩,斤,RMB,768.00,28.8,"22,118.40"
0605006,开刀龙趸,斤,RMB,138.00,21.0,"2,898.00"
1201023,泡椒石板野生龙趸。(2月套餐),份,RMB,129.65,9.0,"1,166.85"
