ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0901006,拉菲副牌2004年,支,RMB,"3,800.00",1.0,"3,800.00"
0901009,柏图斯正牌2002年,支,RMB,"18,000.00",1.0,"18,000.00"
0901012,新西兰梅乐红,支,RMB,600.00,1.0,600.00
0901017,杰卡斯梅洛干红,支,RMB,480.00,11.0,"5,280.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,1.0,980.00
0903004,高度茅台53度,支,RMB,"1,980.00",1.0,"1,980.00"
0904002,杰卡斯霞多丽干白,支,RMB,380.00,2.0,760.00
0905001,法国酩悦香槟,支,RMB,880.00,1.0,880.00
0909001,青岛,支,RMB,26.00,40.0,"1,040.00"
0909002,喜力,支,RMB,28.00,3.0,84.00
0910001,野生花旗参蜜枣茶,位,RMB,28.00,178.0,"4,984.00"
0910002,博士养生茶,位,RMB,28.00,330.0,"9,240.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,361.0,"10,108.00"
0910004,西藏甘草雪茶,位,RMB,28.00,112.0,"3,136.00"
0910005,藏红花润肺茶,位,RMB,38.00,99.0,"3,762.00"
0910006,柠檬咸柑桔水,位,RMB,18.00,47.0,846.00
0910009,日本芽茶,位,RMB,28.00,87.0,"2,436.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,173.0,0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,178.0,"3,204.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,87.0,"1,566.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,127.0,"2,286.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,81.0,"1,458.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,58.0,"1,044.00"
0910016,博士养生茶(增加）,位,RMB,0.00,666.0,0.00
0910017,灵芝茯苓茶(增加）,位,RMB,0.00,62.0,0.00
0910018,红枣枸杞雪菊茶(赠送）,位,RMB,0.00,286.0,0.00
0910019,藏红花润肺茶(赠送）,位,RMB,0.00,217.0,0.00
0910020,灵芝茯苓茶(赠送）,位,RMB,0.00,385.0,0.00
0910021,西藏甘草雪茶(赠送）,位,RMB,0.00,158.0,0.00
0910022,日本芽茶(赠送）,位,RMB,0.00,238.0,0.00
0910023,柠檬咸柑桔水(赠送）,位,RMB,0.00,213.0,0.00
0910024,灵芝茯苓茶,位,RMB,28.00,35.0,980.00
0912001,纸巾,包,RMB,8.00,92.0,736.00
0912002,扑克,副,RMB,10.00,1.0,10.00
0912007,长打包盒,个,RMB,2.00,278.0,556.00
0912008,圆打包盒,个,RMB,2.00,42.0,84.00
0912010,环保袋,个,RMB,3.00,107.0,321.00
0913001,软黑芙蓉王,包,RMB,88.00,5.0,440.00
0913002,软云烟,包,RMB,138.00,2.0,276.00
0913003,软中华,包,RMB,128.00,8.0,"1,024.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,8.0,160.00
0914001,鲜榨苹果汁,渣,RMB,98.00,4.0,392.00
0914002,鲜榨哈蜜瓜汁,渣,RMB,98.00,1.0,98.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,7.0,140.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,15.0,"1,470.00"
0914005,鲜榨红提子汁,杯,RMB,20.00,1.0,20.00
0914006,鲜榨木瓜汁,杯,RMB,20.00,3.0,60.00
0914006,鲜榨木瓜汁,渣,RMB,98.00,13.0,"1,274.00"
0914010,水果（送）,位,RMB,0.00,"1,413.0",0.00
0914012,餐前水果（送）,位,RMB,0.00,7.0,0.00
0914014,鲜榨火龙果汁,杯,RMB,20.00,1.0,20.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,26.0,520.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,18.0,"2,124.00"
0914016,杏仁汁,杯,RMB,35.00,7.0,245.00
0914016,杏仁汁,渣,RMB,138.00,57.0,"7,866.00"
0914019,柠檬,个,RMB,10.00,8.0,80.00
0914020,VIP水果（送）,位,RMB,0.00,"2,055.0",0.00
0915002,苏打水,罐,RMB,13.00,18.0,234.00
0915004,可乐,罐,RMB,13.00,31.0,403.00
0915005,大芙丝水,支,RMB,68.00,2.0,136.00
0915007,小芙丝水,支,RMB,30.00,13.0,390.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,58.0,"2,204.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,3.0,75.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,3.0,75.00
0999001,大菜单余额,份,RMB,126.60,2.0,253.20
0999001,大菜单余额,份,RMB,313.00,1.0,313.00
0918001,印象大红袍,盒,RMB,346.00,4.0,"1,384.00"
1001001,普通茶（散）,位,RMB,5.00,"1,674.0","8,370.00"
1001001,普通茶（散）,位,RMB,18.00,4.0,72.00
1001002,普通茶（厅）,位,RMB,10.00,"1,509.0","15,090.00"
1002004,自带茶叶,位,RMB,15.00,201.0,"3,015.00"
1002004,自带茶叶,位,RMB,18.00,1.0,18.00
0911001,西藏雪菊,位,RMB,38.00,4.0,152.00
0911002,陈年普洱,位,RMB,28.00,183.0,"5,124.00"
0911005,清香铁观音,位,RMB,28.00,41.0,"1,148.00"
