ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401001,火山石窝龙趸扒,位,RMB,98.00,174.0,"17,052.00"
0401002,法式香草煎龙虾扒,位,RMB,168.00,28.0,"4,704.00"
0401007,美国燕麦局大连鲍,位,RMB,88.00,46.0,"4,048.00"
0401008,脆烧星斑扒,位,RMB,138.00,120.0,"16,560.00"
0401014,低温白雪龙虾仔,位,RMB,128.00,1.0,128.00
0401017,咸柠檬灼鲜鲍,位,RMB,108.00,76.0,"8,208.00"
0401018,金柚手撕龙虾,位,RMB,138.00,44.0,"6,072.00"
0401019,火山石烧星斑头腩,位,RMB,128.00,38.0,"4,864.00"
0501083,九层塔鲜胡椒炒斑球,例,RMB,168.00,10.0,"1,680.00"
1201214,白玉翅浸龙趸（3月套餐）,位,RMB,55.84,165.0,"9,213.51"
0301017,羊肚菌炖娃娃鱼骨汤,位,RMB,148.00,11.0,"1,628.00"
0606002,娃娃鱼（特惠价）,斤,RMB,338.00,11.0,"3,718.00"
0601001,苏眉,斤,RMB,298.00,1.5,447.00
0601001,苏眉,斤,RMB,380.00,1.9,722.00
0601001,苏眉,斤,RMB,568.00,3.4,"1,931.20"
0601002,老鼠斑,斤,RMB,168.00,2.0,336.00
0601002,老鼠斑,斤,RMB,498.00,10.9,"5,428.20"
0601002,老鼠斑,斤,RMB,538.00,1.1,591.80
0601003,东星斑,斤,RMB,298.00,12.0,"3,576.00"
0601003,东星斑,斤,RMB,368.00,25.9,"9,531.20"
0601003,东星斑,斤,RMB,398.00,16.6,"6,606.80"
0601003,东星斑,斤,RMB,498.00,14.9,"7,420.20"
0601003,东星斑,斤,RMB,568.00,19.9,"11,303.20"
0601003,东星斑,斤,RMB,638.00,7.4,"4,721.20"
0601004,红玫瑰,斤,RMB,438.00,2.0,876.00
0601004,红玫瑰,斤,RMB,498.00,26.4,"13,147.20"
0601004,红玫瑰,斤,RMB,568.00,13.2,"7,497.60"
0601007,老虎斑,斤,RMB,98.00,75.0,"7,350.00"
0601007,老虎斑,斤,RMB,168.00,53.1,"8,920.80"
0601022,蓝东星,斤,RMB,188.00,26.5,"4,982.00"
0601022,蓝东星,斤,RMB,268.00,1.9,509.20
0601023,黄丁,斤,RMB,198.00,25.1,"4,969.80"
0601025,珍珠龙趸,斤,RMB,98.00,16.9,"1,656.20"
0601028,石头鱼,斤,RMB,238.00,10.8,"2,570.40"
0601029,红瓜子,斤,RMB,568.00,3.8,"2,158.40"
0601033,红斑,斤,RMB,328.00,18.6,"6,100.80"
0601034,金钱斑,斤,RMB,298.00,3.1,923.80
0601037,野生花金古,斤,RMB,498.00,25.7,"12,798.60"
0602001,花龙虾,斤,RMB,598.00,24.6,"14,710.80"
0602003,龙虾仔,斤,RMB,238.00,20.5,"4,879.00"
0602003,龙虾仔,斤,RMB,398.00,21.8,"8,676.40"
0602003,龙虾仔,斤,RMB,438.00,3.0,"1,314.00"
0602004,波士顿龙虾,斤,RMB,138.00,11.3,"1,559.40"
0602004,波士顿龙虾,斤,RMB,148.00,13.2,"1,953.60"
0602004,波士顿龙虾,斤,RMB,168.00,31.9,"5,359.20"
0602004,波士顿龙虾,斤,RMB,188.00,4.8,902.40
0602004,波士顿龙虾,斤,RMB,228.00,67.4,"15,367.20"
0602008,大虾皇,斤,RMB,248.00,17.6,"4,364.80"
0602019,罗氏虾,斤,RMB,138.00,33.6,"4,636.80"
0603001,象拔蚌,斤,RMB,268.00,2.8,750.40
0603001,象拔蚌,斤,RMB,398.00,2.9,"1,154.20"
0603001,象拔蚌,斤,RMB,438.00,30.8,"13,490.40"
0603004,南非野生鲍,斤,RMB,398.00,40.05,"15,939.90"
0603005,大响螺,斤,RMB,338.00,2.4,811.20
0603005,大响螺,斤,RMB,380.00,8.6,"3,268.00"
0603006,圣子皇,斤,RMB,138.00,2.0,276.00
0603006,圣子皇,斤,RMB,168.00,9.3,"1,562.40"
0603006,圣子皇,斤,RMB,188.00,2.5,470.00
0603009,元贝,斤,RMB,88.00,11.0,968.00
0603014,美国响螺,斤,RMB,228.00,4.4,"1,003.20"
0604011,松叶蟹,斤,RMB,168.00,10.5,"1,764.00"
0699001,椒盐沙虾,斤,RMB,49.99,6.0,299.94
0699001,清蒸龙趸,斤,RMB,43.39,9.0,390.53
1201023,泡椒石板野生龙趸。(2月套餐),份,RMB,126.27,10.0,"1,262.66"
0601012,黄花鱼。,斤,RMB,68.00,3.4,231.20
0601013,牙衣,斤,RMB,98.00,3.0,294.00
1201018,牛油局波龙(2月套餐),份,RMB,372.56,8.0,"2,980.48"
0401015,泡椒私房焖龙趸,例,RMB,168.00,17.0,"2,856.00"
0605002,开刀东星头腩,斤,RMB,298.00,10.2,"3,039.60"
0605003,开刀苏眉咀,斤,RMB,898.00,3.3,"2,963.40"
0605004,开刀苏眉肉,斤,RMB,850.00,8.0,"6,800.00"
0605005,开刀苏眉头腩,斤,RMB,850.00,7.3,"6,205.00"
0605006,开刀龙趸,斤,RMB,138.00,77.2,"10,653.60"
0605006,开刀龙趸,斤,RMB,168.00,1.2,201.60
0605007,开刀黄皮老虎斑,斤,RMB,368.00,18.7,"6,881.60"
1201023,泡椒石板野生龙趸。(2月套餐),份,RMB,129.65,3.0,388.95
