ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0911001,西藏雪菊,位,RMB,38.00,10.0,380.00
0911002,陈年普洱,位,RMB,28.00,258.0,"7,224.00"
0911005,清香铁观音,位,RMB,28.00,63.0,"1,764.00"
0901007,拉图正牌1997年,支,RMB,"8,000.00",1.0,"8,000.00"
0901008,拉图副牌2003年,支,RMB,"3,800.00",1.0,"3,800.00"
0901013,澳洲奔富407,支,RMB,980.00,2.0,"1,960.00"
0901016,梅乐卡伯纳红2012年,支,RMB,600.00,4.0,"2,400.00"
0901017,杰卡斯梅洛干红,支,RMB,480.00,11.0,"5,280.00"
0902001,大马爹利XO,支,RMB,"2,380.00",1.0,"2,380.00"
0902012,马爹利XO.350ML,支,RMB,"1,280.00",1.0,"1,280.00"
0902017,马爹利蓝带.350ML,支,RMB,"1,200.00",1.0,"1,200.00"
0903001,1990年梅鹿液53度,支,RMB,980.00,4.0,"3,920.00"
0904001,新西兰苏维翁白葡萄酒,支,RMB,480.00,7.0,"3,360.00"
0908001,绍兴10年花雕,支,RMB,298.00,6.0,"1,788.00"
0909001,青岛,支,RMB,26.00,121.0,"3,146.00"
0909002,喜力,支,RMB,28.00,49.0,"1,372.00"
0910001,野生花旗参蜜枣茶,位,RMB,28.00,243.0,"6,804.00"
0910002,博士养生茶,位,RMB,28.00,381.0,"10,668.00"
0910003,红枣枸杞雪菊茶,位,RMB,28.00,458.0,"12,824.00"
0910004,西藏甘草雪茶,位,RMB,28.00,182.0,"5,096.00"
0910005,藏红花润肺茶,位,RMB,38.00,121.0,"4,598.00"
0910006,柠檬咸柑桔水,位,RMB,18.00,86.0,"1,548.00"
0910009,日本芽茶,位,RMB,28.00,94.0,"2,632.00"
0910010,博士养生茶(赠送）,位,RMB,0.00,220.0,0.00
0910011,红枣枸杞雪菊茶（午市散台）,位,RMB,18.00,268.0,"4,824.00"
0910012,西藏甘草雪茶（午市散台）,位,RMB,18.00,110.0,"1,980.00"
0910013,野生花旗参蜜枣茶（午市散台）,位,RMB,18.00,158.0,"2,844.00"
0910014,藏红花润肺茶（午市散台）,位,RMB,18.00,110.0,"1,980.00"
0910015,日本芽茶（午市散台）,位,RMB,18.00,86.0,"1,548.00"
0910016,博士养生茶(增加）,位,RMB,0.00,729.0,0.00
0910017,灵芝茯苓茶(增加）,位,RMB,0.00,42.0,0.00
0910018,红枣枸杞雪菊茶(赠送）,位,RMB,0.00,343.0,0.00
0910019,藏红花润肺茶(赠送）,位,RMB,0.00,220.0,0.00
0910020,灵芝茯苓茶(赠送）,位,RMB,0.00,452.0,0.00
0910021,西藏甘草雪茶(赠送）,位,RMB,0.00,49.0,0.00
0910022,日本芽茶(赠送）,位,RMB,0.00,177.0,0.00
0910023,柠檬咸柑桔水(赠送）,位,RMB,0.00,246.0,0.00
0910024,灵芝茯苓茶,位,RMB,28.00,17.0,476.00
0912001,纸巾,包,RMB,8.00,89.0,712.00
0912002,扑克,副,RMB,10.00,7.0,70.00
0912005,保温瓶,个,RMB,50.00,1.0,50.00
0912006,话梅,碟,RMB,10.00,1.0,10.00
0912007,长打包盒,个,RMB,2.00,350.0,700.00
0912008,圆打包盒,个,RMB,2.00,38.0,76.00
0912010,环保袋,个,RMB,3.00,119.0,357.00
0913001,软黑芙蓉王,包,RMB,88.00,14.0,"1,232.00"
0913003,软中华,包,RMB,128.00,19.0,"2,432.00"
0914001,鲜榨苹果汁,杯,RMB,20.00,5.0,100.00
0914001,鲜榨苹果汁,渣,RMB,98.00,2.0,196.00
0914004,鲜榨西瓜汁,杯,RMB,20.00,11.0,220.00
0914004,鲜榨西瓜汁,渣,RMB,98.00,15.0,"1,470.00"
0914006,鲜榨木瓜汁,渣,RMB,98.00,8.0,784.00
0914010,水果（送）,位,RMB,0.00,"1,988.0",0.00
0914012,餐前水果（送）,位,RMB,0.00,6.0,0.00
0914014,鲜榨火龙果汁,渣,RMB,128.00,2.0,256.00
0914015,鲜榨新奇士橙汁,杯,RMB,20.00,12.0,240.00
0914015,鲜榨新奇士橙汁,渣,RMB,118.00,17.0,"2,006.00"
0914016,杏仁汁,杯,RMB,35.00,6.0,210.00
0914016,杏仁汁,渣,RMB,138.00,47.0,"6,486.00"
0914019,柠檬,个,RMB,10.00,7.0,70.00
0914020,VIP水果（送）,位,RMB,0.00,"1,990.0",0.00
0915002,苏打水,罐,RMB,13.00,29.0,377.00
0915003,雪碧,罐,RMB,13.00,1.0,13.00
0915004,可乐,罐,RMB,13.00,16.0,208.00
0915005,大芙丝水,支,RMB,68.00,3.0,204.00
0915007,小芙丝水,支,RMB,30.00,16.0,480.00
0915008,意大利大普娜水（750ml）,支,RMB,38.00,51.0,"1,938.00"
0915009,意大利圣培露（柠檬汁）,瓶,RMB,25.00,23.0,575.00
0915010,意大利圣培露（橙汁）,瓶,RMB,25.00,11.0,275.00
0915011,意大利手磨咖啡,杯,RMB,38.00,3.0,114.00
0999001,大菜单余额,份,RMB,57.60,2.0,115.20
0999001,大菜单余额,份,RMB,207.00,2.0,414.00
0918001,印象大红袍,盒,RMB,346.00,2.0,692.00
1001001,普通茶（散）,位,RMB,5.00,"2,259.0","11,295.00"
1001001,普通茶（散）,位,RMB,18.00,3.0,54.00
1001002,普通茶（厅）,位,RMB,10.00,"1,375.0","13,750.00"
1002004,自带茶叶,位,RMB,15.00,202.0,"3,030.00"
1002004,自带茶叶,位,RMB,18.00,1.0,18.00
