ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0401003,铁板低温和牛肉配味黄瓜,位,RMB,138.00,637.0,"87,906.00"
0401010,木鱼汁香煎法国鹅肝,位,RMB,168.00,49.0,"8,232.00"
0401011,红酒汁低温羊排配日本黑蒜,位,RMB,88.00,125.0,"11,000.00"
0402001,黑竹盐极品牛肉,位,RMB,280.00,195.0,"54,600.00"
0402003,日本黑竹盐烧和牛膜,位,RMB,338.00,28.0,"9,464.00"
0402006,五谷南瓜盅,位,RMB,48.00,127.0,"6,096.00"
0402010,温泉蛋脆皮雪花牛肉,位,RMB,280.00,90.0,"25,200.00"
0402047,鱼籽酱焖野生刺参,位,RMB,128.00,4.0,512.00
0402050,黑菌慢煮野生笋壳配露笋汁,位,RMB,78.00,59.0,"4,602.00"
0402051,鲜茄汤烩海胆蟹钳,位,RMB,88.00,37.0,"3,256.00"
0402053,夏日鲜茄局鲜莲,位,RMB,68.00,13.0,884.00
0402055,香煎淮山炒带子,例,RMB,160.00,12.0,"1,920.00"
0402083,西班牙火腿片,位,RMB,88.00,10.0,880.00
