ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801002,日本鱼沼米饭,位,RMB,10.00,4.0,40.00
0801022,泰国香米饭,位,RMB,6.00,755.0,"4,530.00"
0801023,菜心粒粥,例,RMB,48.00,14.0,672.00
0912003,日本芥辣,支,RMB,20.00,5.0,100.00
0912004,樱花豉油,支,RMB,48.00,5.0,240.00
0801003,五彩杂粮饭,位,RMB,15.00,253.0,"3,795.00"
0101002,蒜子辣酱油,碟,RMB,10.00,32.0,320.00
0101002,蒜子辣酱油,瓶,RMB,40.00,6.0,240.00
0101002,蒜子辣酱油,碗,RMB,15.00,11.0,165.00
0101007,日本樱花虾酱,碟,RMB,20.00,13.0,260.00
0101008,泰椒豉油,碟,RMB,5.00,4.0,20.00
0101008,泰椒豉油,碗,RMB,10.00,2.0,20.00
0101011,瑶柱好味酱,碟,RMB,20.00,12.0,240.00
0101012,徐博馆香葱酱,碟,RMB,10.00,6.0,60.00
0101015,四宝小食（大厅）,份,RMB,30.00,8.0,240.00
0101019,VIP房四宝小食,份,RMB,40.00,444.0,"17,760.00"
0199001,百合炒露笋香芹,例,RMB,88.00,1.0,88.00
0199001,冰草,份,RMB,58.00,1.0,58.00
0199001,冰草,例,RMB,58.00,2.0,116.00
0199001,菜心粒,碟,RMB,5.00,1.0,5.00
0199001,菜心粒炒饭,例,RMB,58.00,2.0,116.00
0199001,菜心粒蛋白炒饭,例,RMB,58.00,1.0,58.00
0199001,炒大蒜,碟,RMB,30.00,1.0,30.00
0199001,炒鸡蛋,例,RMB,58.00,1.0,58.00
0199001,豉汁蒸白鳝,份,RMB,78.00,1.0,78.00
0199001,豉汁蒸白鳝球,份,RMB,207.00,1.0,207.00
0199001,虫草花滑鸡粥,份,RMB,22.00,1.0,22.00
0199001,春笋炒土猪肉,例,RMB,78.00,1.0,78.00
0199001,葱烧捞粗面,例,RMB,58.00,1.0,58.00
0199001,葱烧汁捞粗面,例,RMB,68.00,1.0,68.00
0199001,葱油捞稻庭面,位,RMB,38.00,3.0,114.00
0199001,粗面底,例,RMB,41.60,3.0,124.80
0199001,冬瓜,份,RMB,30.00,1.0,30.00
0199001,鹅肝粒炒饭,例,RMB,58.00,7.0,406.00
0199001,鹅肝粒炒饭,例,RMB,68.00,6.0,408.00
0199001,鹅肝粒炒饭,中,RMB,35.99,6.0,215.96
0199001,鹅肝粒炒饭,中,RMB,136.00,3.0,408.00
0199001,番茄炒蛋,例,RMB,68.00,1.0,68.00
0199001,番茄鸡蛋汤,例,RMB,68.00,1.0,68.00
0199001,粉葛蚝市汤,中,RMB,49.99,6.0,299.94
0199001,粉葛云苓炖绿卡水鱼,位,RMB,138.00,11.0,"1,518.00"
0199001,粉葛云苓炖水鱼,位,RMB,138.00,8.0,"1,104.00"
0199001,粉葛云苓炖有机水鱼,位,RMB,138.00,2.0,276.00
0199001,葛根云苓炖绿卡水鱼,位,RMB,138.00,4.0,552.00
0199001,葛根云苓炖水鱼,位,RMB,138.00,12.0,"1,656.00"
0199001,桂花糯米藕,例,RMB,10.00,6.0,59.99
0199001,海胆酱局海螺,位,RMB,58.00,2.0,116.00
0199001,红鸡蛋,只,RMB,5.00,36.0,180.00
0199001,红酒烩黄牛脸,位,RMB,138.00,6.0,828.00
0199001,鸿运乳猪件,只,RMB,780.00,1.0,780.00
0199001,鸿运乳猪全体,只,RMB,780.00,1.0,780.00
