ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0801004,雪菜黄鱼稻庭汤面,位,RMB,38.00,20.0,760.00
0801005,樱花虾葱油稻庭冷面,位,RMB,38.00,25.0,950.00
0802001,人参灌汤包,半打,RMB,48.00,166.0,"7,968.00"
0802003,黄耳野菌饺,件,RMB,10.00,272.0,"2,720.00"
0802004,青芥石蚝卷,件,RMB,10.00,84.0,840.00
0802005,松茸莲藕酥,件,RMB,12.00,343.0,"4,116.00"
0802007,焦糖蜂巢糕,半打,RMB,30.00,8.0,240.00
0802012,松皮菜肉包,件,RMB,10.00,130.0,"1,300.00"
0802013,洛神花果冻,件,RMB,10.00,14.0,140.00
0802014,寿桃（大）,只,RMB,18.00,6.0,108.00
0802038,朱古力心太软,位,RMB,18.00,23.0,414.00
0802040,养生灵芝金瓜糕,位,RMB,20.00,6.0,120.00
0802042,意大利提拉米苏,位,RMB,20.00,47.0,940.00
0802044,美式芝士饼,位,RMB,22.00,12.0,264.00
0802046,法式焦糖炖蛋,位,RMB,16.00,25.0,400.00
0802047,传统姜撞奶,位,RMB,16.00,45.0,720.00
0802048,鲜水果忌廉生日蛋糕,磅,RMB,68.00,5.0,340.00
0802049,精选黑森林生日蛋糕,磅,RMB,68.00,2.0,136.00
0802058,精选黑森林生日蛋糕(员工价）,磅,RMB,48.00,5.0,240.00
0802059,鲜水果忌廉生日蛋糕（员工价）,磅,RMB,48.00,3.0,144.00
0802066,焦糖布甸蛋糕,位,RMB,20.00,57.0,"1,140.00"
0802067,蒸点四式拼,份,RMB,48.00,50.0,"2,400.00"
0802068,美点三品拼,份,RMB,28.00,28.0,784.00
0802069,山药茯苓包,件,RMB,10.00,242.0,"2,420.00"
0803001,西藏甘草雪莲子,位,RMB,20.00,13.0,260.00
0803003,杨枝甘露,位,RMB,20.00,11.0,220.00
0806005,焦糖蜂巢糕（中）,份,RMB,18.00,93.0,"1,674.00"
0806006,金瓜豆豉蒸排骨（特）,份,RMB,26.00,125.0,"3,250.00"
0806008,客家萝卜丝饺（中）,份,RMB,18.00,89.0,"1,602.00"
0806009,岭南猪脚姜（顶）,份,RMB,30.00,26.0,780.00
0806010,黑竹盐脆虾包（特）,份,RMB,26.00,44.0,"1,144.00"
0806011,黄瓜煎薄餐（小）,份,RMB,13.00,108.0,"1,404.00"
0806013,法式蛋挞（中）,份,RMB,18.00,85.0,"1,530.00"
0806014,金网青芥石蚝卷（中）,份,RMB,18.00,59.0,"1,062.00"
0806015,松皮菜肉包（中）,份,RMB,18.00,64.0,"1,152.00"
0806016,台南铁板煎萝卜糕（大）,份,RMB,22.00,109.0,"2,398.00"
0806017,咖喱芝心角（中）,份,RMB,18.00,41.0,738.00
0806019,黑松露蒸牛肉球（特）,份,RMB,26.00,75.0,"1,950.00"
0806020,香草酱皇蒸凤爪（大）,份,RMB,22.00,135.0,"2,970.00"
0806021,健康麻薯包（中）,份,RMB,18.00,27.0,486.00
0806023,蘑菇包（顶）,份,RMB,30.00,53.0,"1,590.00"
0806024,墨汁辽参酥（顶）,份,RMB,30.00,17.0,510.00
0806025,酥皮咖喱局牛崧（特）,份,RMB,26.00,25.0,650.00
0806026,日本吉品鲍鱼酥,位,RMB,48.00,6.0,288.00
0807001,黑松露素粉果（特）,份,RMB,26.00,112.0,"2,912.00"
0807002,松茸莲藕酥（顶）,份,RMB,30.00,153.0,"4,590.00"
0807003,蟹籽百灵菇烧卖（大）,份,RMB,22.00,76.0,"1,672.00"
0807004,补气鲜参灌汤包（特）,份,RMB,26.00,282.0,"7,332.00"
0807005,金兰花虾饺皇（特）,份,RMB,26.00,117.0,"3,042.00"
0808004,脆皮野菌肠（大）,份,RMB,22.00,53.0,"1,166.00"
0808005,原笼五仁杂粮饭（小）,份,RMB,13.00,58.0,754.00
0808013,名酱红米肠（小）,份,RMB,13.00,73.0,949.00
0809003,养生灵芝金瓜糕（小）,份,RMB,13.00,19.0,247.00
0809004,蛋白杏仁茶（中）,份,RMB,18.00,29.0,522.00
0809005,台湾绿茶蛋糕（中）,份,RMB,18.00,40.0,720.00
0809006,奶酪酸奶布丁（大）,份,RMB,22.00,20.0,440.00
0809007,洛神花果冻（中）,份,RMB,18.00,5.0,90.00
0809008,焦糖布甸。,份,RMB,48.00,9.0,432.00
0899001,黑松露素粉果,件,RMB,10.00,7.0,70.00
1201007,焦糖布甸蛋糕(11月套餐),位,RMB,10.38,174.0,"1,805.91"
1201012,焦糖布甸蛋糕。(11月套餐),份,RMB,38.32,41.0,"1,571.12"
0802025,煎锦鲤年糕,条,RMB,168.00,5.0,840.00
0802026,煎燕窝年糕,件,RMB,10.00,114.0,"1,140.00"
0802027,煎瑶柱萝卜糕,件,RMB,8.00,230.0,"1,840.00"
0802028,煎桂林马蹄糕,件,RMB,8.00,130.0,"1,040.00"
0802029,煎五香芋头糕,件,RMB,8.00,81.0,648.00
0801007,龙虾汤稻庭面,位,RMB,38.00,623.0,"23,674.00"
0808009,龙虾汤稻庭面（特）,份,RMB,26.00,77.0,"2,002.00"
1201097,龙虾汤稻庭面（套餐）,位,RMB,24.46,203.0,"4,950.77"
