ITEM_ID,ITEM_NAME,ITEM_UNIT,UNIT,UNIT_PRICE,ITEM_QUANTITY,ITEM_REVENUE
0804001,锦鲤年糕,盒,RMB,168.00,12.0,"2,016.00"
0804002,年糕礼盒,盒,RMB,298.00,6.0,"1,788.00"
0804003,燕窝年糕,盒,RMB,128.00,6.0,768.00
0804004,瑶柱萝卜糕,盒,RMB,88.00,11.0,968.00
0804006,五香芋头糕,盒,RMB,88.00,4.0,352.00
0804009,年糕礼盒（券）,盒,RMB,298.00,25.0,"7,450.00"
0804010,燕窝年糕（券）,盒,RMB,128.00,3.0,384.00
0804011,瑶柱萝卜糕（券）,盒,RMB,88.00,5.0,440.00
0804012,桂林马蹄糕（券）,盒,RMB,88.00,8.0,704.00
0804013,五香芋头糕（券）,盒,RMB,88.00,6.0,528.00
0804016,锦鲤年糕（券）,盒,RMB,168.00,16.0,"2,688.00"
