id,name,quantity_unit,price_unit,price,quantity,revenue,department_id,month_id,year_id
1,馆藏本草凉菜B（套餐）,位,RMB,76.89,188.0,14473.25,1,7,1
2,珍菌炒鹅肝粒（中）,中,RMB,196.00,1.0,196.00,5,3,1
3,珍菌炒鹅肝粒（中）,中,RMB,196.00,1.0,196.00,5,3,2
4,高脚菜心,例,RMB,58.4,177.0,10336.0,5,2,2
5,京葱烧日本北海道60头刺参,位,RMB,298.00,52.0,15496.00,5,3,1
6,鲜榨苹果汁（渣）,渣,RMB,98.00,3.0,294.00,2,4,2
7,冻鹅肝,位,RMB,88.00,3.0,264.00,4,8,1
8,美点双拼（8月套餐）,份,RMB,51.88,7.0,363.16,3,8,1
9,日本黑竹盐烧和牛膜,位,RMB,338.00,2.0,676.00,4,4,1
10,酸辣萝卜,份,RMB,28.00,1.0,28.00,5,2,1
11,鲜茄汤烩海胆蟹钳,位,RMB,88.00,37.0,3256.00,4,8,1
12,葱油炒姬松茸菌,例,RMB,93.0,2.0,186.0,5,4,2
13,京葱烧日本北海道60头刺参,位,RMB,298.00,103.0,30694.00,5,3,2
14,印象大红袍,盒,RMB,346.00,2.0,692.00,2,6,1
15,高脚菜心,例,RMB,68.00,33.0,2244.00,5,2,1
16,奶酪酸奶布丁（大）,份,RMB,22.00,43.0,946.00,3,6,1
17,龙虾汤稻庭面,位,RMB,38.00,716.0,27208.00,3,10,1
18,泰国鲥鱼,斤,RMB,160.00,1.1,176.00,5,4,2
19,全体乳猪件,只,RMB,780.00,1.0,780.00,5,5,1
20,补气鲜参灌汤包（特）,份,RMB,26.00,460.0,11960.00,3,3,2
21,补气鲜参灌汤包（特）,份,RMB,26.00,261.0,6786.00,3,3,1
22,日本芽茶,位,RMB,28.00,37.0,1036.00,2,9,1
23,大号轩尼诗XO,支,RMB,"2,380.00",1.0,2380.00,2,8,1
24,玫瑰香薰鸡,份,RMB,45.00,1.0,45.00,5,4,1
25,台湾绿茶蛋糕,位,RMB,22.00,5.0,110.00,3,3,1
26,泰椒圈炒鸡蛋,例,RMB,68.00,1.0,68.00,5,6,1
27,灵芝孢子浸时蔬（位）,位,RMB,28.00,6.0,168.00,5,9,1
28,鱼籽酱焖关西参（11月套餐）,位,RMB,134.23,148.0,19865.70,5,4,2
29,自带食品加工费,份,RMB,125.0,2.0,250.0,5,4,2
30,原笼五仁杂粮饭（小）,份,RMB,13.00,68.0,884.00,3,3,1
31,西芹百合炒木耳,例,RMB,88.00,1.0,88.00,5,12,1
32,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,6.0,5880.00,5,2,1
33,金兰花汁扣三头印度鳘肚公,位,RMB,980.00,3.0,2940.00,5,2,2
34,津梨炖岩燕盏,位,RMB,180.00,26.0,4680.00,6,5,1
35,春芽鲜胡椒炒斑球,位,RMB,68.00,3.0,204.00,8,3,1
36,石窝紫姜牛仔骨(12套餐),份,RMB,66.73,58.0,3870.33,5,1,1
37,二度滚粥,大,RMB,120.00,1.0,120.00,5,3,1
38,蒜子辣酱油（瓶）,瓶,RMB,40.00,1.0,40.00,5,11,1
39,博士养生茶(增加）,位,RMB,0.00,940.0,0.00,2,10,1
40,清汤面,位,RMB,38.00,4.0,152.00,5,7,1
41,珍菌煎西班牙火腿片,位,RMB,128.00,13.0,1664.00,5,1,1
